City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,illizi,26.4833,8.4667,27.05,18,10,5.1,DZ,1730235863
311,fort st. john,56.2499,-120.8529,-1.06,80,75,2.57,CA,1730235864
312,lebu,-37.6167,-73.65,15.12,72,66,2.29,CL,1730235865
313,caldwell,43.6629,-116.6874,13.08,40,0,5.66,US,1730235770
314,nguigmi,14.2495,13.1092,26.92,16,0,5.35,NE,1730235868
315,nola,40.922,14.5329,18.35,89,23,0.54,IT,1730235869
316,prairie du chien,43.0517,-91.1412,27.58,44,0,4.12,US,1730235870
317,chesterton,41.6106,-87.0642,27.24,51,0,8.75,US,1730235871
318,gondar,12.6,37.4667,14.23,90,100,1.51,ET,1730235872
319,palmer,42.1584,-72.3287,12.51,58,100,4.12,US,1730235874
320,northam,51.0333,-4.2167,12.56,94,25,1.79,GB,1730235875
321,petrovsk,52.3064,45.3917,6.38,78,100,4.48,RU,1730235876
322,ladan,50.5196,32.5818,5.98,74,60,2.2,UA,1730235877
323,la ronge,55.1001,-105.2842,-0.86,74,100,3.09,CA,1730235879
324,abepura,-2.6333,140.5833,23.45,94,20,0.51,ID,1730235881
325,vadso,70.0744,29.7487,1.09,69,0,5.14,NO,1730235882
326,whangarei,-35.7317,174.3239,13.46,76,81,2.78,NZ,1730235883
327,ola,59.5833,151.2833,-7.79,65,100,5.49,RU,1730235884
328,barra,-11.0894,-43.1417,30.36,32,41,3.07,BR,1730235885
329,holualoa,19.6228,-155.9522,27.13,78,40,3.6,US,1730235886
330,puerto quijarro,-17.7833,-57.7667,30.29,60,73,1.18,BO,1730235887
331,tatarsk,55.219,75.9828,0.29,82,100,3.5,RU,1730235889
332,wainwright,52.839,-110.8572,3.26,50,7,3.29,CA,1730235890
333,camana,-16.6228,-72.7111,18.5,78,10,2.84,PE,1730235891
334,ilha de mocambique,-15.0342,40.7358,26.1,82,1,8.55,MZ,1730235892
335,port saint john's,-31.6229,29.5448,20.71,57,100,8.25,ZA,1730235893
336,manicore,-5.8092,-61.3003,39.73,18,61,1.51,BR,1730235894
337,menongue,-14.6585,17.691,21.35,36,48,1.68,AO,1730235895
338,manokwari,-0.8667,134.0833,26.82,74,65,2.36,ID,1730235897
339,otuzco,-7.9,-78.5833,14.44,55,75,2.52,PE,1730235898
340,tshabong,-26.05,22.45,17.15,40,0,4.56,BW,1730235899
341,pauini,-7.7136,-66.9764,35.12,37,38,2.19,BR,1730235900
342,cadale,2.7603,46.3222,25.65,80,2,4.04,SO,1730235901
343,el fasher,13.6279,25.3494,26.15,14,1,4.23,SD,1730235902
344,arraial do cabo,-22.9661,-42.0278,21.92,100,100,2.57,BR,1730235903
345,gumdag,39.2061,54.5906,12.07,45,0,3.5,TM,1730235905
346,marshall,34.3834,-86.3333,25.86,60,20,2.06,US,1730235906
347,ushtobe,45.2514,77.9838,4.93,60,100,2.69,KZ,1730235907
348,greymouth,-42.4667,171.2,10.74,87,96,0.88,NZ,1730235908
349,kruisfontein,-34.0033,24.7314,13.99,82,7,6.12,ZA,1730235909
350,al hufuf,25.3646,49.5653,22.19,33,0,1.54,SA,1730235910
351,almodovar del campo,38.7094,-4.1791,11.21,91,87,1.65,ES,1730235911
352,nahiyat ash shinafiyah,31.5874,44.6602,20.63,24,10,1.25,IQ,1730235913
353,nueva gerona,21.8833,-82.8,28.28,69,100,5.32,CU,1730235914
354,machico,32.7,-16.7667,20.56,71,40,2.06,PT,1730235915
355,benghazi,32.1167,20.0667,21.54,66,0,5.57,LY,1730235916
356,bonanza,14.0289,-84.591,21.8,99,100,1.0,NI,1730235917
357,port-vila,-17.7338,168.3219,23.78,94,75,0.51,VU,1730235918
358,monte argentario,42.4345,11.1195,18.41,77,13,2.3,IT,1730235919
359,taixing,32.1667,120.0136,11.68,86,61,2.97,CN,1730235637
360,birao,10.2849,22.7882,25.73,28,0,1.61,CF,1730235922
